PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
Josh Jackson,NA,None,SG/SF,3900,PHO,@DAL,1,101,22,7,97,106,10,8,9,9,22,26,23,15.7,17.7,10,25.3,23.5,18.2,4.7,22.8,18.3,4.7
Evan Turner,NA,None,SG/SF,3800,POR,@MIN,1,102,16,8,98,108,6,7,6,7,31,28,26,18.3,17.5,10,25,27,17.4,4.6,36.9,22,5.8
Wayne Ellington,6,None,SG/SF,3800,MIA,@ATL,1,100,16,16,100,108,-6,10,9,7,24,27,22,22.9,16.5,6.9,26.1,31.5,23.2,6.1,33,16.5,4.3
P.J. Tucker,1,None,SF/PF,3800,HOU,UTA,1,115,10,9,97,102,-7,6,4,5,32,27,27,17.1,18,11.2,24.8,28.5,18.3,4.8,33.9,18.8,4.9
Frank Kaminsky,NA,None,PF/C,3800,CHA,NYK,1,107,20,12,99,105,-7,9,10,9,22,20,23,18.4,19.2,10.2,28.1,21.5,17.8,4.7,27,38.8,10.2
Sam Dekker,1,None,SF/PF,3700,LAC,@SAS,1,94,17,8,96,102,-4,6,7,4,20,20,13,12.7,8.6,2.5,14.6,24.5,16.9,4.6,19,17.5,4.7
Ekpe Udoh,12,None,PF/C,3700,UTA,@HOU,1,103,9,15,102,102,0,5,4,2,31,21,16,18.7,12.8,5.1,20.4,30,23.3,6.3,27.1,14.8,4
Bryn Forbes,NA,None,PG/SG,3700,SAS,LAC,1,106,16,10,99,107,11,10,9,6,32,31,19,15.1,11.2,3.5,18.9,31,17.3,4.7,26.2,8,2.2
Dwight Powell,NA,None,PF/C,3700,DAL,PHO,1,108,15,17,104,109,15,4,5,5,20,20,19,18.2,16.8,9.8,23.9,19,17.4,4.7,12.5,8.5,2.3
Doug McDermott,NA,None,SF/PF,3700,NYK,@CHA,1,99,14,12,101,104,5,9,10,7,29,30,24,19.1,15.2,9,21.4,31.5,19.4,5.2,23.9,11.8,3.2
Maxi Kleber,15,None,PF,3700,DAL,PHO,1,108,11,14,104,109,15,6,6,4,31,30,19,19.2,12.6,3.5,21.8,30.5,22.3,6,29.9,28,7.6
Marquese Chriss,NA,None,PF/C,3700,PHO,@DAL,1,101,15,10,97,106,-3,5,7,6,17,21,20,16.6,16.7,8.2,25.3,19,15.9,4.3,17.8,6.5,1.8
Jonas Jerebko,NA,None,SF/PF,3700,UTA,@HOU,1,103,14,16,102,102,-9,7,5,5,20,17,18,16,14.8,6.1,23.5,15,11.7,3.2,17,19.8,5.4
Gorgui Dieng,NA,None,PF/C,3700,MIN,POR,1,106,17,15,99,102,-10,5,5,5,20,21,18,16.8,15.9,7.4,24.3,17.5,14.8,4,18.8,4,1.1
Thabo Sefolosha,NA,None,SG/SF,3600,UTA,@HOU,1,103,14,17,102,102,7,5,6,6,17,21,21,20,17.8,9.5,26,19,14.8,4.1,23.3,10.3,2.9
David West,2,None,PF/C,3600,GSW,@LAL,3,112,20,26,105,103,6,6,6,5,16,16,13,20.9,16.8,11,22.7,15,17.3,4.8,17.4,18,5
Brandon Paul,NA,None,SG,3600,SAS,LAC,1,106,14,10,99,107,11,5,3,3,16,14,12,8.7,7.8,-1.6,17.2,13.5,9.1,2.5,13,11,3.1
Andre Roberson,3,None,SG/SF,3600,OKC,DEN,1,108,9,10,100,107,1,6,4,4,27,33,27,21.6,15.8,9.4,22.2,28.5,17.5,4.9,24.6,18,5
Davis Bertans,1,None,SF/PF,3600,SAS,LAC,1,106,18,16,99,107,4,8,6,4,22,18,10,15.4,9,-0.4,18.3,11,7.5,2.1,16.3,16.8,4.7
Meyers Leonard,NA,None,PF/C,3600,POR,@MIN,1,102,NA,NA,98,108,1,6,5,4,19,13,12,13,11.1,2.4,19.8,0,0,0,0,0,0
Devin Harris,1,None,PG/SG,3600,DAL,PHO,1,108,21,14,104,109,14,7,7,7,21,20,19,14.7,16.7,9.4,24,20,17.9,5,22.2,26,7.2
Jawun Evans,5,None,PG,3600,LAC,@SAS,1,94,20,8,96,102,-4,13,8,5,33,25,15,17.9,11.4,3,19.7,26,18.5,5.1,28.6,12.8,3.6
Jared Dudley,NA,None,PF,3600,PHO,@DAL,1,101,NA,NA,97,106,10,2,3,3,9,14,14,10.8,11.5,1.3,21.7,0,0,0,0,0,0
Shabazz Napier,NA,None,PG/SG,3500,POR,@MIN,1,102,18,18,98,108,-1,8,7,6,19,19,17,17.3,14.5,4.6,24.4,18.5,14.7,4.2,18.8,18.3,5.2
Malik Beasley,NA,None,SG,3500,DEN,@OKC,2,103,17,9,98,101,-2,5,7,4,14,20,11,10.8,7.2,1.4,13,12,8,2.3,9.7,5.5,1.6
Montrezl Harrell,NA,None,PF/C,3500,LAC,@SAS,1,94,19,26,96,102,-12,7,7,4,16,15,12,18,12.7,6.2,19.3,15.5,15.2,4.3,15.3,17.3,4.9
Amir Johnson,8,None,PF/C,3500,PHI,@CHI,2,106,14,14,99,107,3,2,2,4,10,15,15,10.8,15,5.7,24.2,23.5,21.2,6.1,14.1,9.5,2.7
